ID,Domain,Topic,Natural_Language_Query
53,Materials Science,Crystallography,Show metadata schemas used in Crystallography projects.
54,Humanities,Renaissance Art,List all SPARQL endpoints available for Renaissance Art research.
55,Materials Science,Metallurgy,Show metadata schemas used in Metallurgy projects.
56,Materials Science,Nanomaterials,What are the persistent identifiers for Nanomaterials datasets?
57,Social Sciences,Urban Sociology,How is data provenance handled for Urban Sociology in the GCN?
58,Humanities,Historical Linguistics,Show metadata schemas used in Historical Linguistics projects.
59,Materials Science,Superconductors,List all SPARQL endpoints available for Superconductors research.
60,Social Sciences,Economic Trends,Identify cross-domain links between Economic Trends and other GCN nodes.
61,Materials Science,Nanomaterials,Show metadata schemas used in Nanomaterials projects.
62,Humanities,Historical Linguistics,What are the persistent identifiers for Historical Linguistics datasets?
63,Social Sciences,Urban Sociology,What are the persistent identifiers for Urban Sociology datasets?
64,Materials Science,Superconductors,What are the persistent identifiers for Superconductors datasets?
65,Materials Science,Superconductors,Find interoperable vocabularies related to Superconductors.
66,Humanities,Historical Linguistics,Which institutions host the most reusable Historical Linguistics data?
67,Humanities,Renaissance Art,Find interoperable vocabularies related to Renaissance Art.
68,Materials Science,Nanomaterials,Find interoperable vocabularies related to Nanomaterials.
69,Social Sciences,Educational Equality,Find interoperable vocabularies related to Educational Equality.
70,Materials Science,Nanomaterials,Which institutions host the most reusable Nanomaterials data?
71,Humanities,Historical Linguistics,List all SPARQL endpoints available for Historical Linguistics research.
72,Humanities,Historical Linguistics,Retrieve the license information for Historical Linguistics data assets.
73,Humanities,Digital History,Identify cross-domain links between Digital History and other GCN nodes.
74,Social Sciences,Public Policy,Show metadata schemas used in Public Policy projects.
75,Humanities,Renaissance Art,Which institutions host the most reusable Renaissance Art data?
76,Humanities,Renaissance Art,Show metadata schemas used in Renaissance Art projects.
77,Humanities,Renaissance Art,Identify cross-domain links between Renaissance Art and other GCN nodes.
78,Materials Science,Polymers,Which institutions host the most reusable Polymers data?
79,Materials Science,Metallurgy,Find interoperable vocabularies related to Metallurgy.
80,Social Sciences,Educational Equality,What are the persistent identifiers for Educational Equality datasets?
81,Social Sciences,Educational Equality,Show metadata schemas used in Educational Equality projects.
82,Materials Science,Crystallography,Retrieve the license information for Crystallography data assets.
83,Humanities,Renaissance Art,What are the persistent identifiers for Renaissance Art datasets?
84,Materials Science,Crystallography,Find interoperable vocabularies related to Crystallography.
85,Materials Science,Polymers,How is data provenance handled for Polymers in the GCN?
86,Humanities,Digital History,Find interoperable vocabularies related to Digital History.
87,Social Sciences,Economic Trends,List all SPARQL endpoints available for Economic Trends research.
88,Humanities,Archaeology,What are the persistent identifiers for Archaeology datasets?
89,Social Sciences,Urban Sociology,Retrieve the license information for Urban Sociology data assets.
90,Social Sciences,Urban Sociology,Which institutions host the most reusable Urban Sociology data?
91,Social Sciences,Economic Trends,How is data provenance handled for Economic Trends in the GCN?
92,Social Sciences,Demographics,Identify cross-domain links between Demographics and other GCN nodes.
93,Social Sciences,Demographics,Find interoperable vocabularies related to Demographics.
94,Social Sciences,Public Policy,Which institutions host the most reusable Public Policy data?
95,Materials Science,Crystallography,How is data provenance handled for Crystallography in the GCN?
96,Social Sciences,Demographics,How is data provenance handled for Demographics in the GCN?
97,Social Sciences,Public Policy,Retrieve the license information for Public Policy data assets.
98,Social Sciences,Economic Trends,Retrieve the license information for Economic Trends data assets.
99,Humanities,Digital History,Show metadata schemas used in Digital History projects.
100,Social Sciences,Demographics,Retrieve the license information for Demographics data assets.
